x,y,z,Unnamed: 3
1493.049072,937.666382,1122.568481,
1492.939819,937.188782,1218.294189,
1494.862305,940.017578,1314.839233,
1497.46521,941.666321,1411.236206,
1500.352295,1040.400146,5.151726,
1.096116,1039.350098,96.933113,
2.014647,1036.622559,190.977798,
4.120235,1033.715576,284.993469,
5.9206,1033.965576,378.757111,
4.308739,1033.10022,468.619446,
2.934433,1032.404541,559.507507,
3.352614,1032.966431,650.219299,
1.5902,1031.539185,746.097168,
1500.479858,1030.732544,843.811829,
1496.841553,1031.420044,935.756653,
1493.269165,1032.400391,1028.593872,
1494.056763,1032.983887,1122.202637,
1494.447632,1035.849243,1221.227905,
1495.188843,1037.82373,1317.481812,
1497.774536,1039.097656,1412.408936,
1499.662109,1133.193115,6.529613,
1501.162476,1134.652832,95.790985,
0.204794,1132.151611,187.314774,
4.541639,1129.469971,283.27887,
6.178383,1128.575073,378.473907,
3.887514,1127.077148,467.365601,
2.172182,1125.685547,559.27124,
2.136378,1125.604126,651.012207,
1501.14978,1126.945312,745.183899,
1498.454102,1125.536987,842.395996,
1496.058228,1124.498413,936.794556,
1493.896362,1126.110229,1029.923828,
1494.060669,1128.314087,1124.489014,
1494.355225,1128.949707,1222.613525,
1495.821777,1129.786621,1317.854004,
1498.151489,1131.331055,1414.42688,
1499.570435,1223.281982,7.846634,
1501.37793,1222.652954,95.21653,
0.854086,1221.535645,184.71402,
4.465199,1220.743652,282.397919,
5.005828,1218.376465,376.172119,
4.116654,1216.438232,465.77951,
2.018049,1216.312134,558.306519,
1.214445,1215.694824,651.263855,
1501.643311,1216.50647,746.584595,
1498.723755,1217.16394,840.867737,
1496.097168,1215.598511,936.310913,
1494.6604,1215.107666,1031.740845,
1495.166138,1216.686523,1125.888916,
1493.944336,1220.007935,1224.332397,
1494.669067,1222.1427,1320.089966,
1497.065308,1223.19104,1415.210449,
1497.572632,1311.709839,6.553064,
1499.454834,1311.207153,94.840233,
1.024509,1313.131592,185.438675,
2.677723,1313.161987,280.15271,
3.919379,1310.60144,373.940338,
4.852769,1310.605347,466.261627,
2.641741,1311.346436,558.669006,
0.577327,1312.876709,651.824524,
0.396163,1312.866455,746.615723,
0.264586,1311.663208,840.201904,
1499.022339,1310.41626,934.374451,
1497.119751,1308.567993,1031.412354,
1496.745728,1310.661865,1130.100098,
1493.23645,1312.588013,1225.981201,
1492.529297,1311.687256,1320.240479,
1495.459106,1312.440918,1416.116333,
1498.432983,1400.031006,5.607501,
1499.72229,1400.280884,96.698967,
1501.526123,1403.802734,188.333191,
2.222664,1406.814331,279.886688,
2.683989,1406.452881,372.421753,
3.108257,1406.233643,467.070251,
2.173435,1408.117432,559.997681,
1.021824,1408.799683,652.875366,
0.008951,1409.167603,745.892151,
1.188667,1408.459473,839.149902,
1500.986084,1407.15332,932.502502,
1500.03186,1404.976562,1030.539185,
1499.225586,1403.171631,1130.713013,
1496.06604,1402.546509,1225.5802,
1495.04541,1403.190308,1320.476562,
1496.58374,1401.588501,1414.984619,
93.415443,1494.916504,4.81625,
93.87677,1494.681641,98.154541,
93.307495,1495.644653,192.922989,
93.231956,1497.521118,282.174713,
94.170364,1497.942139,372.369995,
93.707237,1498.106323,468.176575,
93.657654,1499.996826,562.386475,
94.127396,0.430176,652.728577,
95.214195,0.774782,745.512817,
95.478065,0.600599,839.377563,
94.646004,2.084643,929.67157,
94.327171,0.038667,1027.687134,
93.577812,1499.069458,1127.488281,
91.431587,1498.399414,1223.749756,
91.776192,1496.888062,1320.638062,
92.851006,1495.973022,1414.882202,
93.536102,88.694077,5.599445,
93.094467,89.44648,98.074699,
92.460754,89.51075,193.747894,
90.97438,90.66021,284.180939,
90.363403,92.530205,373.020203,
90.971695,93.070839,468.894775,
91.225365,94.465561,564.372681,
92.041138,95.995422,654.18811,
94.777939,96.427391,745.118652,
